year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2024,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,9695,2024-General-Chambers.xls
2024,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2024-General-Chambers.xls
2024,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,4418,2024-General-Chambers.xls
2024,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,203,2024-General-Chambers.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,16,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,11358,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,14,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,1553,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,43,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,28,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,19,2024-General-Cherokee.xls
2024,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,22,2024-General-Cherokee.xls
2024,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,11435,2024-General-Cherokee.xls
2024,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Cherokee.xls
2024,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,1536,2024-General-Cherokee.xls
2024,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,78,2024-General-Cherokee.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,23,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,16920,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,16,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,2698,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,71,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,15,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,46,2024-General-Chilton.xls
2024,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,35,2024-General-Chilton.xls
2024,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,DEM,Elizabeth Anderson,2695,2024-General-Chilton.xls
2024,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,16606,2024-General-Chilton.xls
2024,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2024-General-Chilton.xls
2024,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,503,2024-General-Chilton.xls
2024,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,20,2024-General-Chilton.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,10,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,5734,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,4,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,993,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,16,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,9,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,11,2024-General-Clay.xls
2024,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,10,2024-General-Clay.xls
2024,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,5830,2024-General-Clay.xls
2024,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2024-General-Clay.xls
2024,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,905,2024-General-Clay.xls
2024,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,47,2024-General-Clay.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,13,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,6988,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,3,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,605,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,28,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,28,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,10,2024-General-Cleburne.xls
2024,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,14,2024-General-Cleburne.xls
2024,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,6979,2024-General-Cleburne.xls
2024,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Cleburne.xls
2024,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,667,2024-General-Cleburne.xls
2024,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,42,2024-General-Cleburne.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,36,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,17495,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,28,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,4601,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,110,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,23,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,25,2024-General-Coffee.xls
2024,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,49,2024-General-Coffee.xls
2024,Coffee,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,17668,2024-General-Coffee.xls
2024,Coffee,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,DEM,Tom Holmes,4446,2024-General-Coffee.xls
2024,Coffee,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Coffee.xls
2024,Coffee,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",undervote,,Under Votes,226,2024-General-Coffee.xls
2024,Coffee,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",write_in,NON,Write-In,23,2024-General-Coffee.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,39,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,19714,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,38,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,7137,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,158,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,31,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,49,2024-General-Colbert.xls
2024,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,74,2024-General-Colbert.xls
2024,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert B. Aderholt,20595,2024-General-Colbert.xls
2024,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Colbert.xls
2024,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,6283,2024-General-Colbert.xls
2024,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,331,2024-General-Colbert.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,6,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,3758,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,1,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,1478,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,21,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,1,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,7,2024-General-Coosa.xls
2024,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,4,2024-General-Coosa.xls
2024,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,DEM,Elizabeth Anderson,1461,2024-General-Coosa.xls
2024,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,3735,2024-General-Coosa.xls
2024,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Coosa.xls
2024,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,76,2024-General-Coosa.xls
2024,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,3,2024-General-Coosa.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,17,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,14677,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,13,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,2314,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,51,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,26,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,30,2024-General-Covington.xls
2024,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,23,2024-General-Covington.xls
2024,Covington,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,14504,2024-General-Covington.xls
2024,Covington,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,DEM,Tom Holmes,2335,2024-General-Covington.xls
2024,Covington,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",overvote,,Over Votes,10,2024-General-Covington.xls
2024,Covington,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",undervote,,Under Votes,292,2024-General-Covington.xls
2024,Covington,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",write_in,NON,Write-In,4,2024-General-Covington.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,81,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,38704,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,25,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,4039,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,203,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,79,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,86,2024-General-Cullman.xls
2024,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,94,2024-General-Cullman.xls
2024,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert B. Aderholt,39110,2024-General-Cullman.xls
2024,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,3,2024-General-Cullman.xls
2024,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,3879,2024-General-Cullman.xls
2024,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,319,2024-General-Cullman.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,28,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,14476,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,30,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,4484,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,85,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,56,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,25,2024-General-Dale.xls
2024,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,36,2024-General-Dale.xls
2024,Dale,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,14546,2024-General-Dale.xls
2024,Dale,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",candidate,DEM,Tom Holmes,4384,2024-General-Dale.xls
2024,Dale,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",overvote,,Over Votes,17,2024-General-Dale.xls
2024,Dale,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",undervote,,Under Votes,255,2024-General-Dale.xls
2024,Dale,us_house,1,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",write_in,NON,Write-In,17,2024-General-Dale.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,40,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,25633,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,32,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,3758,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,120,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,50,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,49,2024-General-DeKalb.xls
2024,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,77,2024-General-DeKalb.xls
2024,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert B. Aderholt,25753,2024-General-DeKalb.xls
2024,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,4,2024-General-DeKalb.xls
2024,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,3718,2024-General-DeKalb.xls
2024,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,284,2024-General-DeKalb.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,75,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,31374,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,46,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,9774,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,222,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,55,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,87,2024-General-Elmore.xls
2024,Elmore,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,133,2024-General-Elmore.xls
2024,Elmore,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,DEM,Elizabeth Anderson,9672,2024-General-Elmore.xls
2024,Elmore,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,31355,2024-General-Elmore.xls
2024,Elmore,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,11,2024-General-Elmore.xls
2024,Elmore,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,698,2024-General-Elmore.xls
2024,Elmore,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,28,2024-General-Elmore.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,75,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,35653,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,70,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,10027,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,198,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,88,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,56,2024-General-Etowah.xls
2024,Etowah,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,114,2024-General-Etowah.xls
2024,Etowah,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,36720,2024-General-Etowah.xls
2024,Etowah,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,2,2024-General-Etowah.xls
2024,Etowah,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,9021,2024-General-Etowah.xls
2024,Etowah,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,537,2024-General-Etowah.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,4,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,7158,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,13,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,1142,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,39,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,15,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,22,2024-General-Fayette.xls
2024,Fayette,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,13,2024-General-Fayette.xls
2024,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert B. Aderholt,7245,2024-General-Fayette.xls
2024,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2024-General-Fayette.xls
2024,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,1109,2024-General-Fayette.xls
2024,Fayette,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,51,2024-General-Fayette.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,16,2024-General-Franklin.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10417,2024-General-Franklin.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,12,2024-General-Franklin.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,1568,2024-General-Franklin.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,64,2024-General-Franklin.xls
2024,Franklin,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,20,2024-General-Franklin.xls
