year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,21,2020-General-Coffee.xls
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,43,2020-General-Coffee.xls
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,36,2020-General-Coffee.xls
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,17211,2020-General-Coffee.xls
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,4875,2020-General-Coffee.xls
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,11,2020-General-Coffee.xls
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,223,2020-General-Coffee.xls
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,15,2020-General-Coffee.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,19203,2020-General-Colbert.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,272,2020-General-Colbert.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,8343,2020-General-Colbert.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,38,2020-General-Colbert.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,60,2020-General-Colbert.xls
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,68,2020-General-Colbert.xls
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,8143,2020-General-Colbert.xls
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,19326,2020-General-Colbert.xls
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,18,2020-General-Colbert.xls
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,480,2020-General-Colbert.xls
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,17,2020-General-Colbert.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,3631,2020-General-Coosa.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,46,2020-General-Coosa.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1796,2020-General-Coosa.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,2,2020-General-Coosa.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,13,2020-General-Coosa.xls
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,6,2020-General-Coosa.xls
2020,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,3774,2020-General-Coosa.xls
2020,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,2,2020-General-Coosa.xls
2020,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,1655,2020-General-Coosa.xls
2020,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,61,2020-General-Coosa.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,14586,2020-General-Covington.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,97,2020-General-Covington.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,2721,2020-General-Covington.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,29,2020-General-Covington.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,32,2020-General-Covington.xls
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,26,2020-General-Covington.xls
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,14437,2020-General-Covington.xls
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,2708,2020-General-Covington.xls
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,9,2020-General-Covington.xls
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,330,2020-General-Covington.xls
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,7,2020-General-Covington.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,36880,2020-General-Cullman.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,418,2020-General-Cullman.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,4478,2020-General-Cullman.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,62,2020-General-Cullman.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,70,2020-General-Cullman.xls
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,75,2020-General-Cullman.xls
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,4359,2020-General-Cullman.xls
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,37133,2020-General-Cullman.xls
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,6,2020-General-Cullman.xls
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,457,2020-General-Cullman.xls
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,30,2020-General-Cullman.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,14303,2020-General-Dale.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,233,2020-General-Dale.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,5170,2020-General-Dale.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,45,2020-General-Dale.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,31,2020-General-Dale.xls
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,32,2020-General-Dale.xls
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,14361,2020-General-Dale.xls
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,5114,2020-General-Dale.xls
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,26,2020-General-Dale.xls
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,288,2020-General-Dale.xls
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,19,2020-General-Dale.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,24767,2020-General-DeKalb.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,250,2020-General-DeKalb.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,4281,2020-General-DeKalb.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,35,2020-General-DeKalb.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,60,2020-General-DeKalb.xls
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,58,2020-General-DeKalb.xls
2020,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,4453,2020-General-DeKalb.xls
2020,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,24460,2020-General-DeKalb.xls
2020,DeKalb,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,6,2020-General-DeKalb.xls
